distance_km,road_condition,terrain_difficulty,rainfall_mm,flood_risk,landslide_risk,road_blockage,connectivity,elevation_change_m,bridge_condition,population_density,weather_severity,accessibility_score,risk_level
190.39735882944444,1,5,109.76574286706413,2,3,1,10,1269.386293057558,1,1231.062207296796,3,85.28424989618883,LOW
475.6035816729085,5,3,95.4148717652756,1,3,0,1,728.8285114955776,4,4277.98875723822,3,82.05082634549444,LOW
367.33700119664553,4,10,224.8278017942426,4,10,10,5,2183.1205905668076,4,2918.9352173289562,7,0.0,CRITICAL
301.3359496775331,9,6,129.3337215291015,3,4,1,7,1417.0932959817349,7,356.91248586344534,4,63.02445560981173,MEDIUM
82.22922701900607,8,7,26.264599208334182,2,4,0,6,1465.5606047582498,8,247.93888980631874,0,69.41783957524453,MEDIUM
82.21728756642031,4,1,84.84033920114992,1,1,1,0,427.68206728075023,3,315.0031478755767,3,93.57200459737929,LOW
33.751388023258734,1,6,125.57468565944674,2,4,2,4,1605.2348085347965,0,4709.956500234791,4,84.02506350656199,LOW
433.7571921585929,4,1,87.7549276428756,0,0,0,1,614.0297713664381,4,4250.858428519663,3,100.0,LOW
302.5519308128884,3,1,99.66167128419649,0,2,1,5,405.7818859505152,3,4226.250809673686,4,95.77218494635505,LOW
355.49592600904253,10,7,88.13277185231723,2,4,1,6,1659.4041560421767,8,4621.841643595294,4,75.69977930330498,LOW
15.189324676422212,6,1,12.449750154923834,0,2,0,6,216.82516606752833,4,2531.224397352042,1,96.21029767295104,LOW
485.1053768201872,5,10,191.12841024733277,3,10,10,2,2337.2162782342984,5,1244.2499090052866,7,0.0,CRITICAL
417.05910719620874,1,8,179.1877261060408,5,9,7,6,1802.3029414734315,0,2012.7265411502055,7,44.651399037515205,MEDIUM
110.1078597857467,10,0,196.0150495436042,1,2,0,4,222.73884154167288,9,3597.131723690216,5,69.36766062560241,MEDIUM
95.00335876751481,10,8,57.69296881008824,3,4,0,7,2036.8363635898822,10,4381.404028891113,1,68.14939898863798,MEDIUM
95.78523237744974,4,0,88.69636248374559,1,1,0,7,230.9172172803042,3,2181.1037242306265,3,100.0,LOW
155.5999102649712,6,9,185.88477808347668,5,10,8,6,1810.5961231139263,6,2681.550967356485,5,35.34481378794274,HIGH
264.75443365795775,10,9,179.8882705379764,6,10,7,5,1913.7454454345311,9,4659.597136448504,5,25.50549042331029,HIGH
218.81278422784732,6,1,151.89909280628035,1,3,0,1,437.8103071541295,5,546.4181991760512,5,84.36184594964809,LOW
149.15842439803075,4,5,105.12397500305923,3,6,5,5,1212.198146374268,2,4312.873092700878,3,63.36581901475322,MEDIUM
307.8671828875778,8,5,273.879301432407,5,7,1,10,1430.1850686402404,8,804.9443364371602,9,57.95432921100995,MEDIUM
74.04946102276071,3,0,101.93107268965313,4,2,1,8,271.0687546530833,1,2424.4681379501953,2,80.23809220448145,LOW
149.61160102493298,10,6,136.6857469311755,3,7,5,1,1544.8178709575604,8,1099.9314120286672,4,54.34685883195472,MEDIUM
186.3491124303774,2,7,203.43414928626262,4,5,0,0,1634.661648521735,2,3018.708677146115,6,71.86489882150026,LOW
230.75464218743278,3,1,162.90642926002923,3,2,2,10,419.8278670295824,2,2797.2813743242477,7,82.89624596038833,LOW
393.6621008895417,4,7,104.06579290931568,2,5,1,4,1623.1433342371756,4,1906.2367475613519,3,79.48460476765379,LOW
103.83852216838807,5,8,130.69343713695295,3,7,1,10,1805.4607848469195,5,4317.88453907717,3,64.32596491118419,MEDIUM
259.5460470147377,2,5,238.34424535605183,4,6,5,5,1269.2916929271016,2,3302.4684682374186,8,62.44142001080953,MEDIUM
298.24521158671104,1,4,83.43874664598373,3,2,2,2,925.2217008768018,0,3608.813573560099,0,94.75902916293806,LOW
27.992954296398874,3,8,42.67657193304463,1,5,1,7,2045.5275969209104,3,761.792093656266,1,77.17510435063656,LOW
305.73470169121197,4,10,93.94896054893313,3,8,2,6,2166.5427740469363,4,4416.996733098332,2,54.93776630125831,MEDIUM
89.4094412252093,3,8,254.86026464637038,6,9,9,1,1673.7619170886735,3,843.5304164638918,8,30.570370568687565,HIGH
37.20053852771336,10,0,26.696914456903997,1,0,0,6,48.27523929887256,9,1121.6969714077013,2,78.52106790753689,LOW
474.69834094039993,2,10,297.50882201173556,6,10,10,0,2006.7114575600638,1,648.9951410994333,10,0.0,CRITICAL
482.9878563719069,7,2,162.30086967829877,2,3,1,8,611.4280392834307,6,2207.3924477643895,5,83.05534445172268,LOW
405.1566873176483,9,8,295.4537231901282,6,10,8,6,1693.8054942727124,8,4439.669066444026,8,18.9721980940041,CRITICAL
155.78381574081848,3,10,281.69892662579326,5,10,9,5,2010.8239512936238,1,1269.7131228531991,8,32.12444858643238,HIGH
53.34769643316002,1,1,135.84411426327503,3,2,2,1,460.0097731447619,0,1875.0295679105366,4,89.97076171328924,LOW
343.69534812351765,1,3,59.54732238160473,1,1,0,2,939.9892743253807,1,4231.871436176356,2,95.33170879478845,LOW
222.87548440110265,0,3,49.46543296954153,2,3,1,0,642.8755254555522,0,3092.898245996857,1,94.50906583926506,LOW
65.40892624816553,3,1,71.99680916098725,0,1,2,9,430.4603864598298,2,3760.5658042949217,1,78.94024343417239,LOW
250.11257050507874,9,2,213.0397921693612,5,4,1,4,771.8143393003734,9,1077.860246686213,5,69.00949071352998,MEDIUM
22.022317952033106,8,2,81.88499841944635,2,2,1,8,892.9034105042126,8,3585.2844180295515,1,72.542412417645,LOW
455.1135990289971,10,0,102.42758088128949,1,2,1,5,333.5951723212804,9,1145.7767874224446,2,79.3524921321108,LOW
133.09609089200836,6,5,134.63364119838442,1,6,3,4,1122.4197754047602,5,4936.696771231199,6,74.73552751141833,LOW
332.9485307552211,9,7,273.9698041264369,5,6,1,2,1758.2768198894998,8,2803.831919072419,8,58.71433385681396,MEDIUM
159.29698266425842,6,2,56.81802536545383,3,1,2,4,698.964713409915,4,3481.2398976352533,1,85.65008330187064,LOW
262.43367048301633,6,4,1.5079657829409343,1,2,10,7,905.8996442907738,6,600.823904866099,1,0.0,CRITICAL
275.62158827492345,7,0,18.028923113451047,0,0,0,1,425.55541292377734,6,1260.773340407432,0,92.91101942921641,LOW
96.50295548513589,0,9,271.4299025040354,6,10,9,4,2013.7022136138005,0,707.3058912261281,7,26.554524395365505,HIGH
484.9443907434565,9,6,194.25493945300894,4,7,3,5,1680.9888273670629,9,1956.9518692058982,7,54.83479092061193,MEDIUM
388.6907475637517,9,9,81.91218579834202,1,5,1,9,2161.450503723889,7,1427.8379623849385,3,63.45857729688386,MEDIUM
470.0519760742736,7,0,53.15775030335733,1,0,0,7,322.2815773159111,7,3667.2820755565403,0,80.99489080132624,LOW
447.9395384616862,3,10,88.28002099113431,4,6,0,7,2364.176418738281,2,552.4578083444744,4,70.09865858899762,LOW
300.96048951148714,3,8,34.43907817538403,1,5,2,4,1839.0485094091107,2,3762.7762485673375,2,72.21480263721415,LOW
461.32774633644283,3,7,282.45987308533233,5,8,2,8,1652.613238900837,3,238.0670749465516,9,48.84076905382264,MEDIUM
48.80378851570015,5,6,235.26185230958006,4,4,2,3,1625.603692722372,5,1018.0690082387382,9,63.893841758087184,MEDIUM
102.01151689747687,6,9,138.7173530737622,4,6,2,8,2140.4642683217517,4,3961.9053099033686,5,71.26965611432837,LOW
27.387508010716342,5,6,259.4887815345606,4,6,2,10,1648.621662595821,4,3716.4554391283955,9,53.591131863298926,MEDIUM
166.03851372781585,0,4,74.83746128796969,2,2,2,6,1245.4133767871342,0,2386.8673084551283,3,92.14147009089395,LOW
197.3952583962936,7,4,215.13617054165806,4,2,1,5,1288.2450170221246,7,259.41374823698357,7,84.01946314155033,LOW
139.31777072807847,9,10,256.83974970412305,3,10,8,3,2350.107329422667,9,3053.3697709298035,6,18.565282228909965,CRITICAL
415.225067030205,10,4,107.03061348698178,3,2,1,1,1051.1508588308711,10,2039.5532788307512,1,74.16264424616723,LOW
181.5928967133267,6,0,227.2393336352153,4,2,1,7,83.15585010454119,5,1589.475469487869,8,75.50468178169854,LOW
144.06258229525346,5,7,88.5217047792928,1,4,10,5,1752.6902798237086,5,3205.649077764406,4,0.0,CRITICAL
273.634561163333,5,10,89.65714057770924,3,6,1,2,2145.7888583799654,3,2188.7066653866145,2,66.82032791005565,MEDIUM
74.75749136250751,4,0,32.117153566255816,2,1,0,6,141.4737840186656,2,471.1812912613614,0,92.28821841794422,LOW
402.0875054732496,5,3,132.01741395281962,2,4,10,9,719.1438882240341,5,4580.592847856598,4,0.0,CRITICAL
41.90256862148656,8,8,218.91357194922668,6,10,7,6,2037.561028675725,6,3894.680566272361,5,30.892349166397466,HIGH
493.5090336172561,9,8,282.0662416713855,5,10,9,5,2033.9822233410791,7,291.3271745398567,9,20.595730702283817,HIGH
387.26116080184545,8,4,181.13909757872884,3,3,0,1,1115.485222435029,6,2630.068712251571,5,82.15557727509308,LOW
103.36426235941533,9,3,258.9406613207217,4,4,0,7,836.490490685368,7,426.0540388641552,8,66.91692021863882,MEDIUM
7.733447976183188,7,2,246.74839478706812,4,2,0,0,736.0572300493995,5,4188.07639670184,10,85.94809893858849,LOW
408.65340708514293,9,2,52.002915892584255,1,1,2,0,703.6147251491954,8,3068.9396656493395,1,75.03544726130158,LOW
354.8943852045705,8,4,145.74522867378943,1,5,1,5,1007.8671241616937,8,870.5211765296116,4,73.57239633759838,LOW
365.8585481802887,9,9,35.077060657617444,2,7,1,4,1989.8154337428173,7,113.49930060294183,0,68.312559819115,MEDIUM
386.7788216095431,7,0,204.6459484684905,4,2,0,8,191.3971540726751,7,167.58925061063889,7,75.20012455324508,LOW
41.652102608374726,7,4,284.9699004738228,4,6,0,6,1094.566701578019,5,2541.7537056035003,9,66.90200033280217,MEDIUM
182.44053562941494,0,5,41.12683742362695,0,0,1,1,1323.834678060413,0,3674.5236585971015,2,94.63033133544546,LOW
62.35518446493921,9,6,220.16493924076238,4,6,1,6,1425.870876757721,8,612.9938521564562,4,58.14664682268753,MEDIUM
432.2361958084188,10,8,189.6714452603583,4,9,8,2,2084.3457251065215,8,1114.2074889156381,6,38.43121812412544,HIGH
313.53257277964116,4,2,175.08151110242991,3,5,1,0,441.9228590022405,2,1643.027126395966,5,68.4975375434909,MEDIUM
168.79452230206135,3,1,117.03607040650176,2,2,0,10,373.52351297688847,1,1098.2031424851534,4,77.16210184939223,LOW
36.4613833915817,1,2,106.53949432614377,2,3,0,7,609.5373415627205,0,1962.7694478089218,2,90.64774123458407,LOW
